"geo","country","dev_class","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct"
"CZ08","CZ","meno_sviluppata",7.75,22.5666666666667,1.16,281.62,94.4
"EE00","EE","transizione",7.79166666666667,41.2333333333333,1.75,162.51,94.92
"ES11","ES","transizione",12.0083333333333,41.3666666666667,1.1,51.94,96.51
"ES12","ES","transizione",13.1583333333333,44.5666666666667,0.87,66.93,97.155
"ES13","ES","transizione",11.9916666666667,43.5,0.96,44.62,97.505
"ES21","ES","piu_sviluppata",12.1666666666667,55,2.32,41.33,97.765
"ES22","ES","piu_sviluppata",12.0083333333333,48.7333333333333,1.91,41.68,98.095
"ES23","ES","transizione",12.2333333333333,40.0333333333333,0.75,53.94,97.475
"ES24","ES","transizione",10.9416666666667,40.5666666666667,1.02,49.55,98.15
"ES30","ES","piu_sviluppata",12.8666666666667,49.6666666666667,1.93,43.42,98.77
"ES41","ES","transizione",12.2416666666667,39.3666666666667,1.37,49.6,97.8
"ES42","ES","meno_sviluppata",16.075,31.3666666666667,0.8,50.91,97.215
"ES43","ES","meno_sviluppata",19.7916666666667,29.2333333333333,0.74,61.53,97.275
"ES51","ES","transizione",12.5166666666667,42.4666666666667,1.78,44.97,98.435
"ES52","ES","transizione",16.7333333333333,38.2,1.2,61.36,98.41
"ES53","ES","transizione",14.7,36.3,0.48,51.7,98.635
"ES61","ES","meno_sviluppata",21.9916666666667,33.9666666666667,1.06,71.95,97.235
"ES62","ES","meno_sviluppata",14.875,33.7333333333333,1.09,61.05,98.465
"ES63","ES","meno_sviluppata",30.9545454545455,24.7333333333333,0.21,88.94,96.255
"ES64","ES","meno_sviluppata",28.7888888888889,34.5,0.35,84.84,99.31
"ES70","ES","meno_sviluppata",23.8166666666667,35.6333333333333,0.56,76.44,98.35
"FI19","FI","transizione",9.38333333333333,40.2,2.74,139.22,97.345
"FI1B","FI","piu_sviluppata",9.73333333333333,49.8333333333333,3.77,121.84,98.3
"FI1C","FI","transizione",8.825,38.1333333333333,1.87,139.01,96.585
"FI1D","FI","transizione",9.24166666666667,37.8,2.78,169.87,96.14
"FR10","FR","piu_sviluppata",9.25833333333333,54.3333333333333,2.83,34.25,96.1
"FRB0","FR","transizione",8.01666666666667,32.6666666666667,1.5,45.21,90.13
"FRC1","FR","transizione",7.68181818181818,35.8666666666667,0.93,45.08,85.52
"FRC2","FR","transizione",9.27272727272727,32.7,2.93,42.47,90.05
"FRD1","FR","transizione",6.91,34.5,1.25,47.36,88.095
"FRD2","FR","transizione",8.49166666666667,33.7333333333333,1.53,47.49,88.845
"FRE1","FR","transizione",10.1166666666667,35.7666666666667,0.91,46.91,92.58
"FRE2","FR","meno_sviluppata",10.75,31.6,1.49,46.07,89.38
"FRF1","FR","transizione",8.05,37.6666666666667,1.86,47.04,92.775
"FRF2","FR","transizione",9.48181818181818,31.3,0.85,43.04,89.045
"FRF3","FR","meno_sviluppata",9.43333333333333,31.0666666666667,1.29,43.03,90.815
"FRG0","FR","transizione",6.625,38.6,1.33,39.76,90.32
"FRH0","FR","transizione",6.95,40.3666666666667,1.75,46.44,90.17
"FRI1","FR","transizione",8.83333333333333,39.8,1.79,38.1,91.875
"FRI2","FR","transizione",6.2,36.9666666666667,1.33,41.59,80.71
"FRI3","FR","transizione",9.28333333333333,33.3,0.9,41.08,90.26
"FRJ1","FR","transizione",12.8833333333333,38.2666666666667,2.59,43.06,89.205
"FRJ2","FR","transizione",7.31666666666667,44.2,4.44,39.5,88.295
"FRK1","FR","transizione",8.01,30.1333333333333,2.15,44.44,88.67
"FRK2","FR","piu_sviluppata",8.34166666666667,44.5666666666667,3,35.55,91.58
"FRL0","FR","piu_sviluppata",8.96666666666667,40.7333333333333,2.16,36.64,91.425
"FRM0","FR","transizione",10.1333333333333,27.7333333333333,0.37,45.99,80.97
"HR03","HR","meno_sviluppata",9.08333333333333,24.9333333333333,0.65,199.81,93.69
"HU11","HU","piu_sviluppata",3.56,55.5333333333333,2.76,315.32,97.81
"HU12","HU","meno_sviluppata",3.2,32.9666666666667,0.62,365.73,96.81
"HU21","HU","meno_sviluppata",2.08333333333333,23.2333333333333,1.26,328.74,96.05
"HU22","HU","meno_sviluppata",2.94285714285714,25.3333333333333,1.13,313.6,95.945
"HU23","HU","meno_sviluppata",7.18888888888889,20.4,0.86,326.27,94.515
"HU31","HU","meno_sviluppata",7.41,18.8333333333333,0.65,415.63,93.13
"HU32","HU","meno_sviluppata",9.14,20.1333333333333,0.96,395.55,94.02
"HU33","HU","meno_sviluppata",6.82222222222222,22.1333333333333,1.37,374.19,93.36
"IE04","IE","piu_sviluppata",4.92,48.6666666666667,1.73,126.06,93.535
"IE05","IE","piu_sviluppata",6.86363636363636,49.3666666666667,0.8,125.85,92.015
"IE06","IE","piu_sviluppata",7.46363636363636,56.4333333333333,1.3,101.98,96.605
"ITC1","IT","transizione",7.31666666666667,19.9666666666667,2.08,69.55,92.415
"ITC2","IT","piu_sviluppata",7.76,18.8666666666667,0.58,70.85,93.435
"ITC3","IT","transizione",8.58333333333333,21.8666666666667,1.62,71.95,92.61
"ITC4","IT","piu_sviluppata",5.86666666666667,21.2333333333333,1.29,71.86,94.2
"ITF1","IT","transizione",9.49166666666667,21.2,1.14,94.41,92.47
"ITF2","IT","meno_sviluppata",12.23,19.5,0.95,97.4,90.735
"ITF3","IT","meno_sviluppata",18.9583333333333,16.5,1.33,116.35,92.62
"ITF4","IT","meno_sviluppata",14.25,15.7666666666667,0.86,81.89,90.645
"ITF5","IT","meno_sviluppata",8.49090909090909,17.6,0.54,82.48,91.375
"ITF6","IT","meno_sviluppata",17.625,16.1666666666667,0.59,86.89,91.11
"ITG1","IT","meno_sviluppata",18.2916666666667,14.8,0.92,81.71,90.915
"ITG2","IT","meno_sviluppata",12.8083333333333,17.4333333333333,0.83,58.75,92.6
"ITH1","IT","piu_sviluppata",4.3,17.6333333333333,0.83,64.82,93.54
"ITH2","IT","piu_sviluppata",5.75555555555556,21.7666666666667,1.48,71.36,95.055
"ITH3","IT","piu_sviluppata",5.34166666666667,19.7333333333333,1.27,70.45,93.92
"ITH4","IT","piu_sviluppata",5.80833333333333,21.1666666666667,1.66,79.57,94.195
"ITH5","IT","piu_sviluppata",5.675,23.2666666666667,2.16,66.05,95.435
"ITI1","IT","transizione",7.48333333333333,20.7333333333333,1.58,59.27,93.425
"ITI2","IT","transizione",6.63333333333333,22.4333333333333,0.98,77.51,91.455
"ITI3","IT","transizione",7.05833333333333,21.5333333333333,1,82.42,91.96
"ITI4","IT","piu_sviluppata",10.2166666666667,26.1,2,87.57,94.56
"LT01","LT","piu_sviluppata",6.22,60.5333333333333,1.66,393.41,93.38
"LT02","LT","meno_sviluppata",9.95833333333333,38.5,0.7,512.03,92.31
"LU00","LU","piu_sviluppata",6.02307692307692,50.5333333333333,1.04,56.45,97.755
"LV00","LV","meno_sviluppata",9.075,38.8,0.74,342.38,93.825
"MT00","MT","piu_sviluppata",3.78333333333333,32.2333333333333,0.67,152.62,95.27
"NL11","NL","piu_sviluppata",5.98333333333333,41.8666666666667,1.25,58.72,99.29
"NL12","NL","transizione",4.65833333333333,33.6,1.25,51.71,98.455
"NL13","NL","transizione",4.0125,35.8,1.25,55.61,98.755
"NL21","NL","piu_sviluppata",4.03333333333333,39.9333333333333,1.25,50.25,99.695
"NL22","NL","piu_sviluppata",4.3,42.6666666666667,1.25,49.67,99.365
"NL23","NL","transizione",5.42,35,1.25,54.71,99.115
"NL32","NL","piu_sviluppata",5.93076923076923,49.1333333333333,1.25,46.87,99.25
"NL34","NL","piu_sviluppata",4.5,29.8333333333333,1.25,46.84,100
"NL41","NL","piu_sviluppata",3.58333333333333,39.9666666666667,1.25,47.47,99.25
"NL42","NL","piu_sviluppata",4.06666666666667,38.4,1.25,52.76,99.06
"PT11","PT","meno_sviluppata",6.775,24.7666666666667,1.97,45.26,88.605
"PT15","PT","meno_sviluppata",8.85,24.6666666666667,0.48,76.75,89.635
"PT20","PT","meno_sviluppata",7.25,15.8333333333333,0.41,89.14,92.675
"PT30","PT","meno_sviluppata",7.7,24.5666666666667,0.46,77.24,91.7
"RO11","RO","meno_sviluppata",4.675,19.3333333333333,0.25,451.52,94.525
"RO12","RO","meno_sviluppata",7.9125,16.4333333333333,0.35,374.49,94.605
"RO21","RO","meno_sviluppata",8.5,12.3666666666667,0.25,263.67,93.14
"RO22","RO","meno_sviluppata",7.2375,12.9333333333333,0.1,259.75,91.675
"RO31","RO","meno_sviluppata",10.3,13.9666666666667,0.27,287.45,92.585
"RO32","RO","piu_sviluppata",4.3125,41.0333333333333,0.97,309.58,96.89
"RO41","RO","meno_sviluppata",12.625,17.4,0.12,251.25,92.57
"RO42","RO","meno_sviluppata",3.44,16.3333333333333,0.67,311.8,94.585
"SE11","SE","piu_sviluppata",12.4833333333333,56.1333333333333,3.57,64.25,95.425
"SE12","SE","piu_sviluppata",13.425,44.6666666666667,3.65,98.29,95.77
"SE21","SE","piu_sviluppata",10.5636363636364,37.9666666666667,1.64,106.7,94.415
"SE22","SE","piu_sviluppata",14.4916666666667,47.5,3.25,90.48,94.98
"SE23","SE","piu_sviluppata",11.8,45.6333333333333,5.31,94.46,93.13
"SE31","SE","transizione",12.7545454545455,35.6333333333333,1.05,97.33,93.365
"SE32","SE","piu_sviluppata",11.15,40.2333333333333,0.7,103.69,93.29
"SE33","SE","piu_sviluppata",9.1,43.3,2.51,117.43,89.125
"SI03","SI","meno_sviluppata",6.03333333333333,35.5,1.52,95.3,95.54
"SI04","SI","piu_sviluppata",5.14545454545455,46.0666666666667,2.59,75.46,97.64
"SK01","SK","piu_sviluppata",2.6,46.5666666666667,1.52,320.53,98.07
"SK02","SK","meno_sviluppata",4.48571428571429,23.6666666666667,0.78,371.35,94.64
"SK03","SK","meno_sviluppata",10.825,24.5333333333333,0.72,421.43,95.255
"SK04","SK","meno_sviluppata",29.0333333333333,27.7666666666667,0.57,335.17,93.52
